field_name,description,data_type,unit_or_format,possible_values,known_missing_value_codes
participant_id,Unique participant label,string,Participant identifier,,
Gender,Participant gender,categorical,,F; M,
Age,Participant age,integer,years,,
SessionOrder,Participant session order label,categorical,,NS->SD; SD->NS,
EEG_SamplingTime_Open_NS,Eyes-open EEG sampling time in Normal Sleep,string,Time of day,,
EEG_SamplingTime_Closed_NS,Eyes-closed EEG sampling time in Normal Sleep,string,Time of day,,
EEG_SamplingTime_Open_SD,Eyes-open EEG sampling time in Sleep Deprivation,string,Time of day,,
EEG_SamplingTime_Closed_SD,Eyes-closed EEG sampling time in Sleep Deprivation,string,Time of day,,
PVT_SamplingTime_NS,PVT sampling time in Normal Sleep,string,Time of day,,
PVT_SamplingTime_SD,PVT sampling time in Sleep Deprivation,string,Time of day,,
PVT_item1_NS,Number of lapses in the PVT after Normal Sleep,integer,count,,
PVT_item2_NS,Median reaction time in the PVT after Normal Sleep,numeric,time,,
PVT_item3_NS,Standard deviation of reaction time in the PVT after Normal Sleep,numeric,time,,
PVT_item1_SD,Number of lapses in the PVT after Sleep Deprivation,integer,count,,
PVT_item2_SD,Median reaction time in the PVT after Sleep Deprivation,numeric,time,,
PVT_item3_SD,Standard deviation of reaction time in the PVT after Sleep Deprivation,numeric,time,,
PANAS_P_NS,Positive Affect score measured by PANAS after Normal Sleep,numeric,Score,,
PANAS_P_SD,Positive Affect score measured by PANAS after Sleep Deprivation,numeric,Score,,
PANAS_N_NS,Negative Affect score measured by PANAS after Normal Sleep,numeric,Score,,
PANAS_N_SD,Negative Affect score measured by PANAS after Sleep Deprivation,numeric,Score,,
ATQ_NS,Overall Adult Temperament Questionnaire score after Normal Sleep,numeric,Score,,
ATQ_SD,Overall Adult Temperament Questionnaire score after Sleep Deprivation,numeric,Score,,
SAI_NS,State Anxiety Inventory score after Normal Sleep,numeric,Score,,
SAI_SD,State Anxiety Inventory score after Sleep Deprivation,numeric,Score,,
SSS_NS,Stanford Sleepiness Scale score after Normal Sleep,numeric,Score,,
SSS_SD,Stanford Sleepiness Scale score after Sleep Deprivation,numeric,Score,,
KSS_NS,Karolinska Sleepiness Scale score after Normal Sleep,numeric,Score,,
KSS_SD,Karolinska Sleepiness Scale score after Sleep Deprivation,numeric,Score,,
SleepDiary_item1_NS,Time participant went to bed the previous night before Normal Sleep,string,Time of day,,
SleepDiary_item2_NS,Time participant got out of bed the morning before Normal Sleep,string,Time of day,,
SleepDiary_item3_NS,Participant-reported sleep quality after Normal Sleep,numeric,Score,,
EQ,Overall Empathy Quotient score,numeric,Score,,
Buss_Perry,Overall Buss-Perry Aggression Questionnaire score,numeric,Score,,
PSQI_GlobalScore,Overall Pittsburgh Sleep Quality Index score,numeric,Score,,
PSQI_item1,Subjective sleep quality score from PSQI,numeric,Score,,
PSQI_item2,Sleep latency score from PSQI,numeric,Score,,
PSQI_item3,Sleep duration score from PSQI,numeric,Score,,
PSQI_item4,Sleep efficiency score from PSQI,numeric,Score,,
PSQI_item5,Sleep disturbance score from PSQI,numeric,Score,,
PSQI_item6,Use of sleep medication score from PSQI,numeric,Score,,
PSQI_item7,Daytime dysfunction score from PSQI,numeric,Score,,
