field_name,description,data_type,unit_or_format,possible_values,missing_values
participant_id,Unique participant label,string,Participant identifier,,0
Gender,Participant gender,categorical,,F; M,0
Age,Participant age,integer,years,,0
SessionOrder,Participant session order label,categorical,,NS->SD; SD->NS,0
EEG_SamplingTime_Open_NS,Eyes-open EEG sampling time in Normal Sleep,string,Time of day,,0
EEG_SamplingTime_Closed_NS,Eyes-closed EEG sampling time in Normal Sleep,string,Time of day,,33
EEG_SamplingTime_Open_SD,Eyes-open EEG sampling time in Sleep Deprivation,string,Time of day,,0
EEG_SamplingTime_Closed_SD,Eyes-closed EEG sampling time in Sleep Deprivation,string,Time of day,,33
PVT_SamplingTime_NS,PVT sampling time in Normal Sleep,string,Time of day,,34
PVT_SamplingTime_SD,PVT sampling time in Sleep Deprivation,string,Time of day,,35
PVT_item1_NS,Number of lapses in the PVT after Normal Sleep,integer,count,,40
PVT_item2_NS,Median reaction time in the PVT after Normal Sleep,numeric,time,,40
PVT_item3_NS,Standard deviation of reaction time in the PVT after Normal Sleep,numeric,time,,40
PVT_item1_SD,Number of lapses in the PVT after Sleep Deprivation,integer,count,,34
PVT_item2_SD,Median reaction time in the PVT after Sleep Deprivation,numeric,time,,34
PVT_item3_SD,Standard deviation of reaction time in the PVT after Sleep Deprivation,numeric,time,,34
PANAS_P_NS,Positive Affect score measured by PANAS after Normal Sleep,numeric,Score,,0
PANAS_P_SD,Positive Affect score measured by PANAS after Sleep Deprivation,numeric,Score,,3
PANAS_N_NS,Negative Affect score measured by PANAS after Normal Sleep,numeric,Score,,0
PANAS_N_SD,Negative Affect score measured by PANAS after Sleep Deprivation,numeric,Score,,3
ATQ_NS,Overall Automatic Thoughts Questionnaire score after Normal Sleep,numeric,Score,,44
ATQ_SD,Overall Automatic Thoughts Questionnaire score after Sleep Deprivation,numeric,Score,,46
SAI_NS,State Anxiety Inventory score after Normal Sleep,numeric,Score,,40
SAI_SD,State Anxiety Inventory score after Sleep Deprivation,numeric,Score,,40
SSS_NS,Stanford Sleepiness Scale score after Normal Sleep,numeric,Score,,33
SSS_SD,Stanford Sleepiness Scale score after Sleep Deprivation,numeric,Score,,34
KSS_NS,Karolinska Sleepiness Scale score after Normal Sleep,numeric,Score,,38
KSS_SD,Karolinska Sleepiness Scale score after Sleep Deprivation,numeric,Score,,38
SleepDiary_item1_NS,Time participant went to bed the previous night before Normal Sleep,string,Time of day,,18
SleepDiary_item2_NS,Time participant got out of bed the morning before Normal Sleep,string,Time of day,,18
SleepDiary_item3_NS,Participant-reported sleep quality after Normal Sleep,numeric,Score,,18
EQ,Overall Empathy Quotient score,numeric,Score,,15
Buss_Perry,Overall Buss-Perry Aggression Questionnaire score,numeric,Score,,16
PSQI_GlobalScore,Overall Pittsburgh Sleep Quality Index score,numeric,Score,,5
PSQI_item1,Subjective sleep quality score from PSQI,numeric,Score,,5
PSQI_item2,Sleep latency score from PSQI,numeric,Score,,5
PSQI_item3,Sleep duration score from PSQI,numeric,Score,,5
PSQI_item4,Sleep efficiency score from PSQI,numeric,Score,,5
PSQI_item5,Sleep disturbance score from PSQI,numeric,Score,,5
PSQI_item6,Use of sleep medication score from PSQI,numeric,Score,,5
PSQI_item7,Daytime dysfunction score from PSQI,numeric,Score,,5
PowerLineFrequency,Power line frequency of the recording environment,numeric,Hz,50,0
SoftwareFilters,Description of software filters applied during EEG acquisition/processing,string/object,Metadata,FilterDescription: Description = n/a,0
EEGReference,Online reference electrode used for the EEG recording,string,Electrode name,FCz,0
EEGPlacementScheme,Electrode placement scheme used for the EEG recording,string,Placement scheme,10-20,0
CapManufacturer,Manufacturer of the EEG cap/system,string,Manufacturer name,Brain Products GmbH,0
InstitutionAddress,Address of the institution where the recording was collected,string,Address,"No.2 Tiansheng Road, Beibei District, Chongqing City, 400715, China",0
InstitutionalDepartmentName,Department responsible for the data collection,string,Department name,Faculty of Psychology,0
InstitutionName,Institution where the data were collected,string,Institution name,Southwest University,0
TaskName,EEG recording task/condition represented by the file,string,Task label,eyesclosed,0
EEGChannelCount,Number of EEG channels recorded,integer,count,61,0
RecordingType,Type of EEG recording,string,Recording type,continuous,0
RecordingDuration,Duration of the EEG recording,numeric,seconds,300,0
SamplingFrequency,EEG sampling frequency,numeric,Hz,500,0
EOGChannelCount,Number of electrooculography (EOG) channels,integer,count,0,0
ECGChannelCount,Number of electrocardiography (ECG) channels,integer,count,0,0
EMGChannelCount,Number of electromyography (EMG) channels,integer,count,0,0
electrodes.EEGPlacementScheme,Electrode placement scheme specified in the electrodes metadata,string,Placement scheme,10-20,0
electrodes.Type,Type of electrode coordinate data,string,Electrode type,EEG,0
electrodes.Units,Units used for electrode coordinates,string,Coordinate unit,millimeters,0
electrodes.CoordinatesDescription,Description of the electrode coordinate system,string,Text,"x, y, z refer to position relative to head center",0
electrodes.name,Electrode name/label,string,Electrode label,10-20 electrodes,0
electrodes.x,Electrode x-coordinate relative to the head center,numeric,millimeters,,0
electrodes.y,Electrode y-coordinate relative to the head center,numeric,millimeters,,0
electrodes.z,Electrode z-coordinate relative to the head center,numeric,millimeters,,0
electrodes.manufacturer,Manufacturer associated with the electrode coordinates,string,Manufacturer name,Brain Products GmbH,0
