epoch_idx,roi,theta_power,participant_id,condition,task
0,frontal,0.18992122985380114,sub-01,NS,eyesclosed
1,frontal,0.15530066355910613,sub-01,NS,eyesclosed
2,frontal,0.28686674265320533,sub-01,NS,eyesclosed
3,frontal,0.1827077306514997,sub-01,NS,eyesclosed
4,frontal,0.23374021294965458,sub-01,NS,eyesclosed
5,frontal,0.34012926507082186,sub-01,NS,eyesclosed
6,frontal,0.44545986722960074,sub-01,NS,eyesclosed
7,frontal,0.16393170524544146,sub-01,NS,eyesclosed
8,frontal,0.18359897993981691,sub-01,NS,eyesclosed
9,frontal,0.2984738102265441,sub-01,NS,eyesclosed
10,frontal,0.24845596322453506,sub-01,NS,eyesclosed
11,frontal,0.21557990777024447,sub-01,NS,eyesclosed
12,frontal,0.30836734408064015,sub-01,NS,eyesclosed
13,frontal,0.3258348721936096,sub-01,NS,eyesclosed
14,frontal,0.23637924936500698,sub-01,NS,eyesclosed
15,frontal,0.25297337471713865,sub-01,NS,eyesclosed
16,frontal,0.3825699315957263,sub-01,NS,eyesclosed
17,frontal,0.335815472404713,sub-01,NS,eyesclosed
18,frontal,0.3244281960202476,sub-01,NS,eyesclosed
19,frontal,0.12171870773593425,sub-01,NS,eyesclosed
20,frontal,0.1686814107736574,sub-01,NS,eyesclosed
21,frontal,0.20101520160896985,sub-01,NS,eyesclosed
22,frontal,0.22812396100304724,sub-01,NS,eyesclosed
23,frontal,0.20562445365834775,sub-01,NS,eyesclosed
24,frontal,0.14955001986658437,sub-01,NS,eyesclosed
25,frontal,0.21074613354703564,sub-01,NS,eyesclosed
26,frontal,0.36097393939811784,sub-01,NS,eyesclosed
27,frontal,0.25627514836287696,sub-01,NS,eyesclosed
28,frontal,0.41493811219754345,sub-01,NS,eyesclosed
29,frontal,0.2989209063567423,sub-01,NS,eyesclosed
30,frontal,0.2819032309903813,sub-01,NS,eyesclosed
31,frontal,0.4330852619930865,sub-01,NS,eyesclosed
32,frontal,0.14945868039067894,sub-01,NS,eyesclosed
33,frontal,0.26469728269531323,sub-01,NS,eyesclosed
34,frontal,0.2575620986588145,sub-01,NS,eyesclosed
35,frontal,0.3127917512988117,sub-01,NS,eyesclosed
36,frontal,0.265093208889127,sub-01,NS,eyesclosed
37,frontal,0.21706356232015683,sub-01,NS,eyesclosed
38,frontal,0.18683372400629317,sub-01,NS,eyesclosed
39,frontal,0.18968159316315858,sub-01,NS,eyesclosed
40,frontal,0.3661806357079651,sub-01,NS,eyesclosed
41,frontal,0.28620649918132857,sub-01,NS,eyesclosed
42,frontal,0.1800988841288603,sub-01,NS,eyesclosed
43,frontal,0.11876317099564497,sub-01,NS,eyesclosed
44,frontal,0.1951770111773813,sub-01,NS,eyesclosed
45,frontal,0.3606048760703087,sub-01,NS,eyesclosed
46,frontal,0.29302025610234705,sub-01,NS,eyesclosed
47,frontal,0.2240272686089152,sub-01,NS,eyesclosed
48,frontal,0.29727801840846046,sub-01,NS,eyesclosed
49,frontal,0.17676554518062795,sub-01,NS,eyesclosed
50,frontal,0.2876971637254425,sub-01,NS,eyesclosed
51,frontal,0.17042590968050578,sub-01,NS,eyesclosed
52,frontal,0.34747295881820056,sub-01,NS,eyesclosed
53,frontal,0.41995693878019175,sub-01,NS,eyesclosed
54,frontal,0.39830659789840783,sub-01,NS,eyesclosed
55,frontal,0.30464274774478795,sub-01,NS,eyesclosed
56,frontal,0.2886337341002196,sub-01,NS,eyesclosed
57,frontal,0.17868647511438285,sub-01,NS,eyesclosed
58,frontal,0.2190088494973764,sub-01,NS,eyesclosed
59,frontal,0.39575814920115426,sub-01,NS,eyesclosed
60,frontal,0.32336316287627537,sub-01,NS,eyesclosed
61,frontal,0.292896620262465,sub-01,NS,eyesclosed
62,frontal,0.29862878727736925,sub-01,NS,eyesclosed
