electrode,theta_mean,theta_std,interpolated,participant_id,condition,task,n_epochs_used,n_bad_channels
Fp1,0.2978531039186644,0.11714955127741129,False,sub-01,NS,eyesclosed,75,0
AF3,0.29330725832957666,0.13059181544509485,False,sub-01,NS,eyesclosed,75,0
AF7,0.2812745664262522,0.10339661793157863,False,sub-01,NS,eyesclosed,75,0
Fz,0.2500200604295503,0.10571965130673953,False,sub-01,NS,eyesclosed,75,0
F1,0.28276459419313704,0.12120451577295632,False,sub-01,NS,eyesclosed,75,0
F3,0.29776145551242045,0.11673402495124222,False,sub-01,NS,eyesclosed,75,0
F5,0.30102010194256223,0.10134277062723736,False,sub-01,NS,eyesclosed,75,0
F7,0.27621598691621374,0.08287978122075754,False,sub-01,NS,eyesclosed,75,0
FC1,0.24809243332270264,0.08082497354950938,False,sub-01,NS,eyesclosed,75,0
FC3,0.2792009292928802,0.08452893464439629,False,sub-01,NS,eyesclosed,75,0
FC5,0.27835250046709964,0.08076397353117906,False,sub-01,NS,eyesclosed,75,0
FT7,0.25386496411598986,0.08312763993359891,False,sub-01,NS,eyesclosed,75,0
Cz,0.18050956703151658,0.07277474425796357,False,sub-01,NS,eyesclosed,75,0
C1,0.21782104349647088,0.0713146081142039,False,sub-01,NS,eyesclosed,75,0
C3,0.22751876079036318,0.0782559604950209,False,sub-01,NS,eyesclosed,75,0
C5,0.25644599877519153,0.08660598190326815,False,sub-01,NS,eyesclosed,75,0
T7,0.24487724332271224,0.08295248415765988,False,sub-01,NS,eyesclosed,75,0
CP1,0.19008475731916394,0.07485379815217644,False,sub-01,NS,eyesclosed,75,0
CP3,0.2128880631301176,0.08273902636844792,False,sub-01,NS,eyesclosed,75,0
CP5,0.2405340017660212,0.09177483701239625,False,sub-01,NS,eyesclosed,75,0
TP7,0.24490039971829133,0.09325568071120864,False,sub-01,NS,eyesclosed,75,0
TP9,0.1634036201565362,0.0650162490111659,False,sub-01,NS,eyesclosed,75,0
Pz,0.15197623801062468,0.0689810056011515,False,sub-01,NS,eyesclosed,75,0
P1,0.16833595042854013,0.07602529943068817,False,sub-01,NS,eyesclosed,75,0
P3,0.1846525022081759,0.08484139343226413,False,sub-01,NS,eyesclosed,75,0
P5,0.21857934006860225,0.09268592042882971,False,sub-01,NS,eyesclosed,75,0
P7,0.2394132192417477,0.09324218022831364,False,sub-01,NS,eyesclosed,75,0
PO3,0.1756403976022743,0.08508656073892681,False,sub-01,NS,eyesclosed,75,0
PO7,0.22279397111122579,0.09464618297225531,False,sub-01,NS,eyesclosed,75,0
Oz,0.18468893703542036,0.0812485609602069,False,sub-01,NS,eyesclosed,75,0
O1,0.19140455201616988,0.08849921231560114,False,sub-01,NS,eyesclosed,75,0
Fpz,0.2710341702919582,0.11377193634739265,False,sub-01,NS,eyesclosed,75,0
Fp2,0.24540750225327596,0.0976031542970777,False,sub-01,NS,eyesclosed,75,0
AF4,0.2570464635992123,0.10494246430428263,False,sub-01,NS,eyesclosed,75,0
AF8,0.22774904399842474,0.08516057178810373,False,sub-01,NS,eyesclosed,75,0
